Year, Month, Score
12 , 1 , 17.5
12 , 2 , 26.249998
12 , 3 , 26.249998
12 , 4 , 0
12 , 5 , -17.5
12 , 6 , 0
12 , 7 , -14.885543
12 , 8 , 5.3712354
12 , 9 , 13.124999
12 , 10 , 35
12 , 11 , 21.89445
12 , 12 , 17.5
13 , 1 , 32.231823
13 , 2 , 9.51125
13 , 3 , 21.515278
13 , 4 , 21.875
13 , 5 , 35
13 , 6 , 24.499998
13 , 7 , 32.4625
13 , 8 , 27.551895
13 , 9 , 35
13 , 10 , 18.182255
13 , 11 , 20.07396
13 , 12 , 13.124999
14 , 1 , 19.261343
14 , 2 , 18.742939
14 , 3 , 18.972374
14 , 4 , 31.5
14 , 5 , 19.594933
14 , 6 , 31.770355
14 , 7 , 15.17449
14 , 8 , 24.705883
14 , 9 , 11.666667
14 , 10 , 27.045452
14 , 11 , 24.0625
14 , 12 , 13.124999
15 , 1 , 30.625
15 , 2 , 25.890278
15 , 3 , 22.327257
15 , 4 , 0
15 , 5 , 26.249998
15 , 6 , 21.89445
15 , 7 , 19.038057
15 , 8 , -20.795837
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
