Year, Month, Score
12 , 1 , 9.194789
12 , 2 , 17.5
12 , 3 , 4.3913116
12 , 4 , -8.718731
12 , 5 , NaN
12 , 6 , NaN
12 , 7 , 1.3611456
12 , 8 , 17.5
12 , 9 , 36.64792
12 , 10 , 26.597786
12 , 11 , 18.094126
12 , 12 , 32.27292
13 , 1 , 26.826769
13 , 2 , 31.111113
13 , 3 , 32.796783
13 , 4 , 21.11191
13 , 5 , 26.916996
13 , 6 , 22.620571
13 , 7 , 17.060904
13 , 8 , 12.291268
13 , 9 , -0.55257064
13 , 10 , 11.844583
13 , 11 , 35.99205
13 , 12 , 23.390965
14 , 1 , 34.03433
14 , 2 , 32.27292
14 , 3 , 19.821087
14 , 4 , 17.5
14 , 5 , 24.791666
14 , 6 , 7.777778
14 , 7 , 20.566355
14 , 8 , 31.654951
14 , 9 , 26.249998
14 , 10 , 23.05868
14 , 11 , 27.049843
14 , 12 , 24.941992
15 , 1 , 22.0756
15 , 2 , 22.611757
15 , 3 , 27.203623
15 , 4 , 17.869678
15 , 5 , 22.195005
15 , 6 , 19.166666
15 , 7 , 17.5192
15 , 8 , 14.703241
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
