Year, Month, Score
12 , 1 , 40.995255
12 , 2 , -5.8333335
12 , 3 , NaN
12 , 4 , 26.249998
12 , 5 , 17.5
12 , 6 , 14.85881
12 , 7 , 26.249998
12 , 8 , 17.5
12 , 9 , 8.75
12 , 10 , 35
12 , 11 , 33.096878
12 , 12 , 34.154163
13 , 1 , 11.666667
13 , 2 , 10.69713
13 , 3 , 21.80296
13 , 4 , 22.771854
13 , 5 , 4.2982764
13 , 6 , 4.2246447
13 , 7 , 23.346455
13 , 8 , 23.333334
13 , 9 , 15.75
13 , 10 , 17.5
13 , 11 , 17.5
13 , 12 , 20.60236
14 , 1 , 20.113579
14 , 2 , 23.333334
14 , 3 , 25.470835
14 , 4 , 33.705006
14 , 5 , 33.41479
14 , 6 , 20.004684
14 , 7 , 24.74427
14 , 8 , 21.652603
14 , 9 , 30.000002
14 , 10 , 30.625
14 , 11 , 23.333334
14 , 12 , 21
15 , 1 , 31.327108
15 , 2 , 23.607986
15 , 3 , 23.333334
15 , 4 , 36.64792
15 , 5 , 26.249998
15 , 6 , 35
15 , 7 , NaN
15 , 8 , NaN
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
