Year, Month, Score
12 , 1 , 12.5
12 , 2 , 18.75
12 , 3 , 18.75
12 , 4 , 0
12 , 5 , -12.5
12 , 6 , 0
12 , 7 , -13.698127
12 , 8 , 3.3965032
12 , 9 , 9.375
12 , 10 , 25
12 , 11 , 19.824081
12 , 12 , 12.5
13 , 1 , 26.446978
13 , 2 , 5.852082
13 , 3 , 16.414352
13 , 4 , 15.625
13 , 5 , 25
13 , 6 , 17.5
13 , 7 , 26.326393
13 , 8 , 21.677402
13 , 9 , 25
13 , 10 , 13.637093
13 , 11 , 15.123266
13 , 12 , 9.375
14 , 1 , 13.583719
14 , 2 , 13.694374
14 , 3 , 17.895132
14 , 4 , 22.5
14 , 5 , 14.237168
14 , 6 , 24.745464
14 , 7 , 10.846373
14 , 8 , 17.647058
14 , 9 , 8.333334
14 , 10 , 19.318182
14 , 11 , 17.1875
14 , 12 , 9.375
15 , 1 , 21.875
15 , 2 , 19.539352
15 , 3 , 13.878764
15 , 4 , 0
15 , 5 , 18.75
15 , 6 , 19.824081
15 , 7 , 15.063429
15 , 8 , -17.993061
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
