Year, Month, Score
12 , 1 , 4.213537
12 , 2 , 12.5
12 , 3 , 0.65218693
12 , 4 , -6.197884
12 , 5 , NaN
12 , 6 , NaN
12 , 7 , -1.0647571
12 , 8 , 12.5
12 , 9 , 27.74653
12 , 10 , 20.996311
12 , 11 , 13.490211
12 , 12 , 24.62153
13 , 1 , 19.711287
13 , 2 , 22.222223
13 , 3 , 25.03168
13 , 4 , 14.6736965
13 , 5 , 20.300257
13 , 6 , 14.784286
13 , 7 , 11.768172
13 , 8 , 7.985448
13 , 9 , -3.0042841
13 , 10 , 7.5187483
13 , 11 , 30.357119
13 , 12 , 15.6516075
14 , 1 , 28.518751
14 , 2 , 24.62153
14 , 3 , 13.987525
14 , 4 , 12.5
14 , 5 , 17.708332
14 , 6 , 5.555556
14 , 7 , 14.832815
14 , 8 , 23.591581
14 , 9 , 18.75
14 , 10 , 16.208912
14 , 11 , 19.442041
14 , 12 , 19.347763
15 , 1 , 16.792664
15 , 2 , 15.847185
15 , 3 , 19.977055
15 , 4 , 13.11613
15 , 5 , 16.023933
15 , 6 , 13.690476
15 , 7 , 13.106712
15 , 8 , 10.153548
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
