Year, Month, Score
12 , 1 , 20
12 , 2 , 25
12 , 3 , 0
12 , 4 , -12.5
12 , 5 , 26.326393
12 , 6 , 32.55296
12 , 7 , 9.375
12 , 8 , 33.16929
12 , 9 , 8.309897
12 , 10 , 23.214285
12 , 11 , 7.875578
12 , 12 , 13.4529085
13 , 1 , -155.67395
13 , 2 , 20.123266
13 , 3 , 12.5
13 , 4 , 24.953129
13 , 5 , 12.19483
13 , 6 , 22.221432
13 , 7 , -24.243061
13 , 8 , 16.390919
13 , 9 , 22.386438
13 , 10 , 14.891497
13 , 11 , 17.623264
13 , 12 , 32.8097
14 , 1 , 14.2341585
14 , 2 , 18.131742
14 , 3 , 10.810157
14 , 4 , 20.454546
14 , 5 , 25
14 , 6 , 23.106485
14 , 7 , 20.880758
14 , 8 , 14.225307
14 , 9 , 19.512325
14 , 10 , 23.226643
14 , 11 , 16.16204
14 , 12 , 8.732391
15 , 1 , 9.710684
15 , 2 , 16.355211
15 , 3 , 17.307693
15 , 4 , 16.02508
15 , 5 , 20.833332
15 , 6 , 25.517618
15 , 7 , 9.558824
15 , 8 , 9.713295
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
