Year, Month, Score
12 , 1 , 35.07378
12 , 2 , -30.827564
12 , 3 , 37.68711
12 , 4 , 17.329027
12 , 5 , 24.243061
12 , 6 , 35.826366
12 , 7 , NaN
12 , 8 , 25
12 , 9 , 5.4138002
12 , 10 , 33.797337
12 , 11 , 9.483287
12 , 12 , 8.356853
13 , 1 , 15.236261
13 , 2 , 27.128843
13 , 3 , 18.187214
13 , 4 , 18.667465
13 , 5 , 28.690115
13 , 6 , 16.047941
13 , 7 , 6.896562
13 , 8 , 23.122108
13 , 9 , 20.603674
13 , 10 , 7.4105525
13 , 11 , 12.345919
13 , 12 , 15.624423
14 , 1 , 11.509148
14 , 2 , 25.805563
14 , 3 , 25.387447
14 , 4 , 9.640562
14 , 5 , 21.24079
14 , 6 , 11.703147
14 , 7 , 4.7139177
14 , 8 , 14.271976
14 , 9 , 18.786594
14 , 10 , 18.055555
14 , 11 , 13.415511
14 , 12 , 15.602265
15 , 1 , 20.277798
15 , 2 , 19.28042
15 , 3 , 18.75
15 , 4 , 12.214104
15 , 5 , 15.420687
15 , 6 , 11.796583
15 , 7 , 18.565607
15 , 8 , 19.100346
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
