Year, Month, Score
12 , 1 , 12
12 , 2 , 15.000001
12 , 3 , 0
12 , 4 , -7.5000005
12 , 5 , 20.190287
12 , 6 , 25.574144
12 , 7 , 5.625
12 , 8 , 31.437004
12 , 9 , 6.6338577
12 , 10 , 13.928572
12 , 11 , 4.3591433
12 , 12 , 8.209072
13 , 1 , -227.94351
13 , 2 , 13.172571
13 , 3 , 7.5000005
13 , 4 , 18.267715
13 , 5 , 7.0727625
13 , 6 , 21.110004
13 , 7 , -18.940287
13 , 8 , 12.947287
13 , 9 , 18.483871
13 , 10 , 11.681429
13 , 11 , 11.672572
13 , 12 , 30.37802
14 , 1 , 8.677821
14 , 2 , 11.266791
14 , 3 , 6.13422
14 , 4 , 12.272728
14 , 5 , 15.000001
14 , 6 , 16.793526
14 , 7 , 14.947349
14 , 8 , 6.582096
14 , 9 , 11.817257
14 , 10 , 14.335481
14 , 11 , 12.626858
14 , 12 , 5.0824904
15 , 1 , 4.0949574
15 , 2 , 9.008409
15 , 3 , 10.384616
15 , 4 , 11.324001
15 , 5 , 12.5
15 , 6 , 17.829931
15 , 7 , 5.7352943
15 , 8 , 6.455755
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
