Year, Month, Score
12 , 1 , -0.76771414
12 , 2 , 7.5000005
12 , 3 , -3.0869384
12 , 4 , -3.6770377
12 , 5 , NaN
12 , 6 , NaN
12 , 7 , -3.49066
12 , 8 , 7.5000005
12 , 9 , 18.845144
12 , 10 , 15.394835
12 , 11 , 8.886294
12 , 12 , 16.970144
13 , 1 , 12.595801
13 , 2 , 13.333334
13 , 3 , 17.266573
13 , 4 , 8.235482
13 , 5 , 13.683518
13 , 6 , 6.948
13 , 7 , 6.475443
13 , 8 , 3.679628
13 , 9 , -5.4559975
13 , 10 , 3.1929142
13 , 11 , 24.722189
13 , 12 , 7.9122505
14 , 1 , 23.003176
14 , 2 , 16.970144
14 , 3 , 8.153963
14 , 4 , 7.5000005
14 , 5 , 10.625
14 , 6 , 3.3333335
14 , 7 , 9.099276
14 , 8 , 15.528215
14 , 9 , 11.25
14 , 10 , 9.359143
14 , 11 , 11.834243
14 , 12 , 13.753535
15 , 1 , 11.509728
15 , 2 , 9.08261
15 , 3 , 12.750485
15 , 4 , 8.362584
15 , 5 , 9.852864
15 , 6 , 8.214286
15 , 7 , 8.694225
15 , 8 , 5.6038575
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
