Year, Month, Score
12 , 1 , 28.988928
12 , 2 , -2.5000002
12 , 3 , NaN
12 , 4 , 11.25
12 , 5 , 7.5000005
12 , 6 , 4.670559
12 , 7 , 11.25
12 , 8 , 7.5000005
12 , 9 , 3.7500002
12 , 10 , 15.000001
12 , 11 , 18.892715
12 , 12 , 16.730095
13 , 1 , 5.0000005
13 , 2 , -0.04002787
13 , 3 , 11.984687
13 , 4 , 12.108687
13 , 5 , -1.081799
13 , 6 , 1.5241706
13 , 7 , 7.8084006
13 , 8 , 10.000001
13 , 9 , 6.7500005
13 , 10 , 7.5000005
13 , 11 , 7.5000005
13 , 12 , 10.2944
14 , 1 , 10.820573
14 , 2 , 10.000001
14 , 3 , 11.812899
14 , 4 , 21.978346
14 , 5 , 14.634514
14 , 6 , 7.788714
14 , 7 , 9.819964
14 , 8 , 11.633857
14 , 9 , 12.857143
14 , 10 , 13.125001
14 , 11 , 10.000001
14 , 12 , 9
15 , 1 , 19.763248
15 , 2 , 10.640858
15 , 3 , 10.000001
15 , 4 , 18.845144
15 , 5 , 11.25
15 , 6 , 15.000001
15 , 7 , NaN
15 , 8 , NaN
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
