Year, Month, Score
12 , 1 , 36.603294
12 , 2 , -33.15859
12 , 3 , 37.761955
12 , 4 , 14.260637
12 , 5 , 18.940287
12 , 6 , 36.82358
12 , 7 , NaN
12 , 8 , 15.000001
12 , 9 , -2.4206786
12 , 10 , 27.316269
12 , 11 , 2.0266018
12 , 12 , 0.93036366
13 , 1 , 8.664101
13 , 2 , 20.28807
13 , 3 , 11.176385
13 , 4 , 13.40718
13 , 5 , 23.023302
13 , 6 , 10.244896
13 , 7 , 3.6551871
13 , 8 , 15.704287
13 , 9 , 14.55943
13 , 10 , 3.1020463
13 , 11 , 6.0342855
13 , 12 , 9.146921
14 , 1 , 6.7794733
14 , 2 , 19.877785
14 , 3 , 20.542427
14 , 4 , 4.4967875
14 , 5 , 16.100744
14 , 6 , 5.475314
14 , 7 , 1.599485
14 , 8 , 8.480766
14 , 9 , 12.455077
14 , 10 , 10.833333
14 , 11 , 8.781714
14 , 12 , 8.926506
15 , 1 , 14.041092
15 , 2 , 11.79259
15 , 3 , 11.25
15 , 4 , 6.54419
15 , 5 , 9.4837
15 , 6 , 4.0152164
15 , 7 , 11.255007
15 , 8 , 11.240486
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
