Year, Month, Score
12 , 1 , 7.5000005
12 , 2 , 11.25
12 , 3 , 11.25
12 , 4 , 0
12 , 5 , -7.5000005
12 , 6 , 0
12 , 7 , -12.510711
12 , 8 , 1.4217713
12 , 9 , 5.625
12 , 10 , 15.000001
12 , 11 , 17.753716
12 , 12 , 7.5000005
13 , 1 , 20.66213
13 , 2 , 2.1929142
13 , 3 , 11.313429
13 , 4 , 9.375
13 , 5 , 15.000001
13 , 6 , 10.5
13 , 7 , 20.190287
13 , 8 , 15.80291
13 , 9 , 15.000001
13 , 10 , 9.09193
13 , 11 , 10.172572
13 , 12 , 5.625
14 , 1 , 7.9060965
14 , 2 , 8.645808
14 , 3 , 16.817892
14 , 4 , 13.500001
14 , 5 , 8.879404
14 , 6 , 17.720573
14 , 7 , 6.5182557
14 , 8 , 10.588236
14 , 9 , 5.0000005
14 , 10 , 11.590909
14 , 11 , 10.312501
14 , 12 , 5.625
15 , 1 , 13.125001
15 , 2 , 13.188429
15 , 3 , 5.4302707
15 , 4 , 0
15 , 5 , 11.25
15 , 6 , 17.753716
15 , 7 , 11.0888
15 , 8 , -15.190286
15 , 9 , NaN
15 , 10 , NaN
15 , 11 , NaN
15 , 12 , NaN
